"Agency_ID","Pax_ID","Booking_ID","Ar_Trans_ID","agt_id","ar_Tran_Date","ar_Tran_time","ar_Mode","ar_oper","ar_flight_num","ar_class","ar_dep_date","ar_arr_Date","ar_dep_city","ar_arr_city","ar_dep_time","ar_arr_time","ar_maj_orig","ar_maj_dest","ar_base_Val","ar_tax_Val","ar_ttl_Comm","ar_tkt_num","ar_conf_num","ar_exch","ar_exch_Val","ar_exch_orig","ar_hi_fare","ar_lo_fare","ar_reason","ar_inv_Num","ar_pax_count"
"91282774","77194","10","1","ET","20170202","0000","A","LH","LH954","W","20170223","","FRA","BHX","1230","1305","BHX","FRA","206","110.93","0","1133338107","X550LC","N","0","","316.93","316.93","LFOA","6297445","1"
"91282774","95840","2","1","ET","20170202","0000","A","LH","LH955","W","20170221","","BHX","FRA","1350","1630","BHX","FRA","206","110.93","0","1133338108","X550LC","N","0","","316.93","316.93","LFOA","6297446","1"
"91282774","95840","2","1","ET","20170202","0000","A","LH","LH954","W","20170223","","FRA","BHX","1230","1305","BHX","FRA","206","110.93","0","1133338108","X550LC","N","0","","316.93","316.93","LFOA","6297446","1"
"91282774","81003","4","1","ET","20170202","0000","A","LH","LH955","W","20170221","","BHX","FRA","1350","1630","BHX","FRA","206","110.93","0","1133338109","X550LC","N","0","","316.93","316.93","LFOA","6297447","1"
"91282774","81003","4","1","ET","20170202","0000","A","LH","LH954","W","20170223","","FRA","BHX","1230","1305","BHX","FRA","206","110.93","0","1133338109","X550LC","N","0","","316.93","316.93","LFOA","6297447","1"
"91282774","98434","1","1","EO","20170201","0000","A","VS","VS115","O","20170502","","LHR","ATL","1100","1530","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","5044950","1"
"91282774","98434","1","1","EO","20170201","0000","A","VS","VS104","O","20170510","","ATL","LHR","1805","0725","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","5044950","1"
"91282774","98434","1","1","EO","20170201","0000","A","VS","VS115","O","20170502","","LHR","ATL","1100","1530","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","6297449","1"
"91282774","98434","1","1","EO","20170201","0000","A","VS","VS104","O","20170510","","ATL","LHR","1805","0725","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","6297449","1"
"91282774","98435","1","1","EO","20170201","0000","A","VS","VS115","O","20170502","","LHR","ATL","1100","1530","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","5044948","2"
"91282774","98435","1","1","EO","20170201","0000","A","VS","VS104","O","20170510","","ATL","LHR","1805","0725","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","5044948","2"
"91282774","98435","1","1","EO","20170201","0000","A","VS","VS115","O","20170502","","LHR","ATL","1100","1530","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","6297450","2"
"91282774","98435","1","1","EO","20170201","0000","A","VS","VS104","O","20170510","","ATL","LHR","1805","0725","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","6297450","2"
"91282774","92112","35","1","KG","20170202","0000","A","CA","BA2731","B","20170206","","TFS","LGW","1420","1840","TFS","DSN","1539","267.79","0","1133338112","W4KJKK","N","0","","1806.79","1806.79","LFOA","6297451","1"
"91282774","92112","35","1","KG","20170202","0000","A","CA","BA39","E","20170207","","LHR","PEK","1620","1025","TFS","DSN","1539","267.79","0","1133338112","W4KJKK","N","0","","1806.79","1806.79","LFOA","6297451","1"
"91282774","92112","35","1","KG","20170202","0000","A","CA","CA1149","S","20170208","","PEK","DSN","2105","2245","TFS","DSN","1539","267.79","0","1133338112","W4KJKK","N","0","","1806.79","1806.79","LFOA","6297451","1"
"91282774","92112","35","1","KG","20170202","0000","A","CA","CA1126","Y","20170320","","DSN","PEK","0825","0950","TFS","DSN","1539","267.79","0","1133338112","W4KJKK","N","0","","1806.79","1806.79","LFOA","6297451","1"
"91282774","92112","35","1","KG","20170202","0000","A","CA","BA38","T","20170320","","PEK","LHR","1210","1535","TFS","DSN","1539","267.79","0","1133338112","W4KJKK","N","0","","1806.79","1806.79","LFOA","6297451","1"
"91282774","92112","35","1","KG","20170202","0000","A","CA","BA2730","K","20170321","","LGW","TFS","0840","1305","TFS","DSN","1539","267.79","0","1133338112","W4KJKK","N","0","","1806.79","1806.79","LFOA","6297451","1"
"91282774","89038","37","1","EO","20170201","0000","A","VS","VS11","E","20170212","","LHR","BOS","1645","1920","LHR","BOS","812","367.57","100","1133338117","L0T1RG","N","0","","1579.57","1179.57","QBT","6297453","1"
"91282774","89038","37","1","EO","20170201","0000","A","VS","VS12","S","20170215","","BOS","LHR","2140","0900","LHR","BOS","812","367.57","100","1133338117","L0T1RG","N","0","","1579.57","1179.57","QBT","6297453","1"
"91282774","89926","13","1","WS","20170202","0000","A","BE","BE6411","E","20170205","","JER","GCI","0930","0950","JER","GCI","56.99","0","0","<none>","XJJG0U","N","0","","56.99","56.99","LOW","6297455","1"
"91282774","81278","38","1","JO","20170202","0000","A","DY","DY3194","P","20170221","","CPH","ARN","0700","0810","CPH","ARN","87","34.8","0","1133338118","X41H0Y","N","0","","121.8","121.8","LFOA","6297456","1"
"91282774","81278","38","1","JO","20170202","0000","A","DY","DY3199","X","20170223","","ARN","CPH","1600","1710","CPH","ARN","87","34.8","0","1133338118","X41H0Y","N","0","","121.8","121.8","LFOA","6297456","1"
"91282774","70645","61","1","SP","20170202","0000","A","VS","VS27","Q","20170326","","LGW","MCO","1120","1535","LGW","MCO","523","338.82","210","1133338119","XCK06G","N","0","","861.82","861.82","QBT","6297458","1"
"91282774","70645","61","1","SP","20170202","0000","A","VS","VS28","O","20170330","","MCO","LGW","1805","0720","LGW","MCO","523","338.82","210","1133338119","XCK06G","N","0","","861.82","861.82","QBT","6297458","1"
