"Agency_ID","Pax_ID","booking_id","Tran_id","Inv_Type","Inv_Tran_Date","Inv_Tran_Time","Inv_Val","inv_num"
"91282774","98017","8","1","I","20170203","83325","4.6","6297474"
"91282774","98017","8","2","I","20170203","83325","4","6297474"
"91282774","96074","2","1","I","20170203","85329","26.9","6297475"
"91282774","96074","2","2","I","20170203","85329","5","6297475"
"91282774","98438","1","1","I","20170203","85428","26.9","6297476"
"91282774","98438","1","2","I","20170203","85428","5","6297476"
"91282774","69497","29","1","I","20170203","91519","138.5","6297477"
"91282774","69497","29","2","I","20170203","91519","3.5","6297477"
"91282774","98439","1","1","I","20170203","91616","138.5","6297478"
"91282774","98439","1","2","I","20170203","91616","3.5","6297478"
"91282774","97810","3","1","I","20170203","94935","234.2","6297479"
"91282774","97810","3","2","I","20170203","94935","5","6297479"
"91282774","88821","201","1","I","20170203","95307","195.01","6297480"
"91282774","10151","89","1","I","20170203","100109","156.4","6297482"
"91282774","10151","89","2","I","20170203","100109","25","6297482"
"91282774","97370","2","2","I","20170203","100106","477.97","6297481"
"91282774","97370","2","3","I","20170203","100106","9.55","6297481"
"91282774","92647","11","1","I","20170203","100354","35.6","6297483"
"91282774","97696","7","1","I","20170203","100743","159","6297484"
"91282774","85604","124","1","I","20170203","101037","64.22","6297485"
"91282774","85604","124","2","I","20170203","101037","12.5","6297485"
"91282774","85604","124","3","I","20170203","101037","0","6297485"
"91282774","97409","4","1","I","20170203","101136","69.5","6297486"
"91282774","33440","147","1","I","20170203","101448","83","6297488"
"91282774","33440","147","2","I","20170203","101448","15","6297488"
"91282774","97875","7","4","I","20170203","101353","53.7","6297487"
"91282774","97516","10","4","I","20170203","101618","91.2","6297489"
"91282774","98090","7","1","I","20170203","102752","115.72","6297491"
"91282774","98090","7","2","I","20170203","102752","10","6297491"
"91282774","98017","9","1","I","20170203","102737","36.1","6297490"
"91282774","98017","9","2","I","20170203","102737","4","6297490"
"91282774","79957","43","2","I","20170203","103222","705.34","6297493"
"91282774","79957","43","3","I","20170203","103222","20","6297493"
"91282774","98434","2","1","I","20170203","103140","658.57","6297492"
"91282774","98434","2","1","R","20170203","154939","-658.57","5044962"
"91282774","79957","43","4","I","20170203","103222","14.51","6297493"
"91282774","98434","2","3","I","20170203","103140","0","6297492"
"91282774","98434","2","4","I","20170203","103140","0","6297492"
"91282774","98440","1","1","I","20170203","103544","1806.57","6297494"
"91282774","98440","1","2","I","20170203","103544","35","6297494"
"91282774","96202","2","4","I","20170203","110645","23","6297500"
"91282774","96972","2","1","I","20170203","103824","165","6297495"
"91282774","96972","2","2","I","20170203","103824","3.5","6297495"
"91282774","98441","2","1","I","20170203","104116","324","6297496"
"91282774","98441","2","2","I","20170203","104116","25","6297496"
"91282774","98441","2","3","I","20170203","104408","60","6297497"
"91282774","83766","5","1","I","20170203","110622","2655","6297499"
"91282774","88668","13","1","I","20170203","111153","627.8","6297501"
"91282774","98442","2","1","I","20170203","111505","154.54","6297502"
"91282774","98443","1","1","I","20170203","111727","38","6297503"
"91282774","81567","51","1","I","20170203","111842","2167.77","6297504"
"91282774","81567","51","2","I","20170203","111842","35","6297504"
"91282774","81567","51","3","I","20170203","111842","0","6297504"
"91282774","81567","52","1","I","20170203","112000","389.2","6297505"
"91282774","81567","52","2","I","20170203","112000","0","6297505"
"91282774","81567","52","3","I","20170203","112000","25","6297505"
"91282774","93083","4","1","I","20170203","112254","3403.1","6297506"
"91282774","93083","4","2","I","20170203","112254","35","6297506"
"91282774","93083","4","3","I","20170203","112254","0","6297506"
"91282774","98116","2","1","I","20170203","112512","4879.82","6297508"
